Title,Price,Rating,Availability,Product_URL
The Perfect Play (Play by Play #1),59.99,Three,In stock,the-perfect-play-play-by-play-1_352/index.html
Last One Home (New Beginnings #1),59.98,Three,In stock,last-one-home-new-beginnings-1_383/index.html
Civilization and Its Discontents,59.95,Two,In stock,civilization-and-its-discontents_140/index.html
The Barefoot Contessa Cookbook,59.92,Five,In stock,the-barefoot-contessa-cookbook_440/index.html
The Diary of a Young Girl,59.9,Three,In stock,the-diary-of-a-young-girl_634/index.html
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,Three,In stock,the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,One,In stock,thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
Boar Island (Anna Pigeon #19),59.48,Three,In stock,boar-island-anna-pigeon-19_613/index.html
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,Four,In stock,the-man-who-mistook-his-wife-for-a-hat-and-other-clinical-tales_451/index.html
The Improbability of Love,59.45,One,In stock,the-improbability-of-love_607/index.html
