Title,Price,Rating,Availability,Product_URL
An Abundance of Katherines,10.0,Five,In stock,an-abundance-of-katherines_362/index.html
The Origin of Species,10.01,Four,In stock,the-origin-of-species_499/index.html
The Tipping Point: How Little Things Can Make a Big Difference,10.02,Two,In stock,the-tipping-point-how-little-things-can-make-a-big-difference_284/index.html
Patience,10.16,Three,In stock,patience_916/index.html
Greek Mythic History,10.23,Five,In stock,greek-mythic-history_698/index.html
The Fellowship of the Ring (The Lord of the Rings #1),10.27,Two,In stock,the-fellowship-of-the-ring-the-lord-of-the-rings-1_442/index.html
History of Beauty,10.29,Four,In stock,history-of-beauty_521/index.html
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,One,In stock,the-lucifer-effect-understanding-how-good-people-turn-evil_758/index.html
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,Four,In stock,nano-what-now-finding-your-editing-process-revising-your-nanowrimo-book-and-building-a-writing-career-through-publishing-and-beyond_566/index.html
Pet Sematary,10.56,Three,In stock,pet-sematary_726/index.html
